
Файл                                                       1                   2                   3                   4
------------------------------------------------------------------------------------------------------------------------
Всего букв                                             14699               17621               16886               16297
Гласные                                         6340(43.13%)        7570(42.96%)        7207(42.68%)        6885(42.24%)
Согласные                                       8359(56.86%)       10051(57.03%)        9679(57.31%)        9412(57.75%)
Звонкие согласные                               5040(60.29%)        5931(59.00%)        5688(58.76%)        5474(58.15%)
Глухие согласные                                3027(36.21%)        3784(37.64%)        3652(37.73%)        3581(38.04%)
Редкие согласные                                 722(8.637%)        1048(10.42%)         920(9.505%)         785(8.340%)
ь, ъ, ы, й                                       754(5.129%)         896(5.084%)         891(5.276%)         819(5.025%)
Знаки препинания                                 760(5.170%)         783(4.443%)         885(5.241%)         783(4.804%)
а                                               0.098(0.064)        0.071(0.064)        0.086(0.064)        0.075(0.064)
б                                               0.017(0.015)        0.018(0.015)        0.018(0.015)        0.021(0.015)
в                                               0.047(0.039)        0.049(0.039)        0.047(0.039)        0.042(0.039)
г                                               0.017(0.014)        0.019(0.014)        0.015(0.014)        0.017(0.014)
д                                               0.024(0.026)        0.031(0.026)        0.031(0.026)        0.032(0.026)
е                                               0.082(0.074)        0.089(0.074)        0.083(0.074)        0.081(0.074)
ё                                               0.000(0.074)        0.000(0.074)        0.000(0.074)        0.000(0.074)
ж                                               0.010(0.008)        0.013(0.008)        0.013(0.008)        0.009(0.008)
з                                               0.017(0.015)        0.013(0.015)        0.015(0.015)        0.014(0.015)
и                                               0.066(0.064)        0.070(0.064)        0.068(0.064)        0.063(0.064)
й                                               0.012(0.010)        0.011(0.010)        0.012(0.010)        0.009(0.010)
к                                               0.039(0.029)        0.030(0.029)        0.039(0.029)        0.037(0.029)
л                                               0.056(0.036)        0.047(0.036)        0.048(0.036)        0.052(0.036)
м                                               0.025(0.026)        0.027(0.026)        0.031(0.026)        0.036(0.026)
н                                               0.072(0.056)        0.066(0.056)        0.062(0.056)        0.064(0.056)
о                                               0.108(0.095)        0.114(0.095)        0.109(0.095)        0.118(0.095)
п                                               0.022(0.024)        0.021(0.024)        0.025(0.024)        0.027(0.024)
р                                               0.040(0.041)        0.038(0.041)        0.041(0.041)        0.035(0.041)
с                                               0.049(0.047)        0.052(0.047)        0.050(0.047)        0.051(0.047)
т                                               0.055(0.056)        0.063(0.056)        0.059(0.056)        0.064(0.056)
у                                               0.029(0.021)        0.028(0.021)        0.027(0.021)        0.030(0.021)
ф                                               0.000(0.002)        0.001(0.002)        0.001(0.002)        0.000(0.002)
х                                               0.009(0.009)        0.011(0.009)        0.008(0.009)        0.007(0.009)
ц                                               0.004(0.004)        0.002(0.004)        0.003(0.004)        0.001(0.004)
ч                                               0.013(0.013)        0.013(0.013)        0.015(0.013)        0.017(0.013)
ш                                               0.008(0.006)        0.012(0.006)        0.009(0.006)        0.009(0.006)
щ                                               0.002(0.004)        0.004(0.004)        0.003(0.004)        0.001(0.004)
ъ                                               0.000(0.015)        0.000(0.015)        0.000(0.015)        0.000(0.015)
ы                                               0.018(0.016)        0.019(0.016)        0.019(0.016)        0.019(0.016)
ь                                               0.019(0.015)        0.018(0.015)        0.019(0.015)        0.021(0.015)
э                                               0.002(0.003)        0.003(0.003)        0.002(0.003)        0.003(0.003)
ю                                               0.007(0.007)        0.012(0.007)        0.007(0.007)        0.005(0.007)
я                                               0.017(0.019)        0.018(0.019)        0.021(0.019)        0.025(0.019)
Пробел                                          0.199(0.145)        0.199(0.145)        0.199(0.145)        0.209(0.145)
Всего слов                                              2928                3468                3376                3381
Средняя длина слова                                    5.020               5.081               5.001               4.820
Количество предложений                                   184                 168                 312                 184
Среднее число слов в предложении                       15.91               20.64               10.82               18.37
Всего предлогов                                          254                 348                 298                 311
Всего союзов                                             322                 402                 355                 408
Самый частый предлог                                   в(66)              в(102)               в(79)              на(62)
Самый частый союз                                     и(160)              и(208)              и(145)              и(148)

Буквосочетания (биграммы)               
ст                                                       186                 253                 207                 197
но                                                       174                 217                 185                 188
ен                                                        97                 193                 133                 162
то                                                       234                 293                 237                 335
на                                                       272                 181                 214                 183
ов                                                       100                 175                 151                 141
ни                                                       108                 155                 116                 133
ра                                                        96                 131                 164                 133
во                                                       121                 158                 137                 111
ко                                                       148                 167                 176                 223

Буквосочетания (триграммы)              
сто                                                       28                  33                  33                  24
ено                                                        2                   4                   6                   2
нов                                                       12                  21                  10                  12
тов                                                        3                  11                   7                   3
ово                                                       35                  20                  32                  35
ова                                                       21                  37                  25                  35

Самая частая биграмма                                на(272)             то(293)             то(237)             то(335)
Самая частая триграмма                               ово(35)             ова(37)             сто(33)             ово(35)
