
Файл                                                       1                   2                   3                   4
------------------------------------------------------------------------------------------------------------------------
Всего букв                                             15667               17621               16886               17448
Гласные                                          968(6.178%)        7570(42.96%)        7207(42.68%)         999(5.725%)
Согласные                                      14699(93.82%)       10051(57.03%)        9679(57.31%)       16449(94.27%)
Звонкие согласные                              10602(72.12%)        5931(59.00%)        5688(58.76%)       11657(70.86%)
Глухие согласные                                4097(27.87%)        3784(37.64%)        3652(37.73%)        4792(29.13%)
Редкие согласные                                   0(0.000%)        1048(10.42%)         920(9.505%)           0(0.000%)
ь, ъ, ы, й                                         0(0.000%)         896(5.084%)         891(5.276%)           0(0.000%)
Знаки препинания                                 760(4.850%)         783(4.443%)         885(5.241%)         783(4.487%)
а                                               0.000(0.064)        0.071(0.064)        0.086(0.064)        0.000(0.064)
б                                               0.000(0.015)        0.018(0.015)        0.018(0.015)        0.000(0.015)
в                                               0.000(0.039)        0.049(0.039)        0.047(0.039)        0.008(0.039)
г                                               0.000(0.014)        0.019(0.014)        0.015(0.014)        0.000(0.014)
д                                               0.000(0.026)        0.031(0.026)        0.031(0.026)        0.000(0.026)
е                                               0.000(0.074)        0.089(0.074)        0.083(0.074)        0.000(0.074)
ё                                               0.061(0.074)        0.000(0.074)        0.000(0.074)        0.057(0.074)
ж                                               0.000(0.008)        0.013(0.008)        0.013(0.008)        0.000(0.008)
з                                               0.000(0.015)        0.013(0.015)        0.015(0.015)        0.000(0.015)
и                                               0.000(0.064)        0.070(0.064)        0.068(0.064)        0.000(0.064)
й                                               0.000(0.010)        0.011(0.010)        0.012(0.010)        0.000(0.010)
к                                               0.000(0.029)        0.030(0.029)        0.039(0.029)        0.000(0.029)
л                                               0.000(0.036)        0.047(0.036)        0.048(0.036)        0.000(0.036)
м                                               0.000(0.026)        0.027(0.026)        0.031(0.026)        0.000(0.026)
н                                               0.000(0.056)        0.066(0.056)        0.062(0.056)        0.000(0.056)
о                                               0.000(0.095)        0.114(0.095)        0.109(0.095)        0.000(0.095)
п                                               0.000(0.024)        0.021(0.024)        0.025(0.024)        0.000(0.024)
р                                               0.676(0.041)        0.038(0.041)        0.041(0.041)        0.659(0.041)
с                                               0.261(0.047)        0.052(0.047)        0.050(0.047)        0.274(0.047)
т                                               0.000(0.056)        0.063(0.056)        0.059(0.056)        0.000(0.056)
у                                               0.000(0.021)        0.028(0.021)        0.027(0.021)        0.000(0.021)
ф                                               0.000(0.002)        0.001(0.002)        0.001(0.002)        0.000(0.002)
х                                               0.000(0.009)        0.011(0.009)        0.008(0.009)        0.000(0.009)
ц                                               0.000(0.004)        0.002(0.004)        0.003(0.004)        0.000(0.004)
ч                                               0.000(0.013)        0.013(0.013)        0.015(0.013)        0.000(0.013)
ш                                               0.000(0.006)        0.012(0.006)        0.009(0.006)        0.000(0.006)
щ                                               0.000(0.004)        0.004(0.004)        0.003(0.004)        0.000(0.004)
ъ                                               0.000(0.015)        0.000(0.015)        0.000(0.015)        0.000(0.015)
ы                                               0.000(0.016)        0.019(0.016)        0.019(0.016)        0.000(0.016)
ь                                               0.000(0.015)        0.018(0.015)        0.019(0.015)        0.000(0.015)
э                                               0.000(0.003)        0.003(0.003)        0.002(0.003)        0.000(0.003)
ю                                               0.000(0.007)        0.012(0.007)        0.007(0.007)        0.000(0.007)
я                                               0.000(0.019)        0.018(0.019)        0.021(0.019)        0.000(0.019)
Пробел                                          0.187(0.145)        0.199(0.145)        0.199(0.145)        0.195(0.145)
Всего слов                                             14085                3468                3376               15763
Средняя длина слова                                    1.112               5.081               5.001               1.106
Количество предложений                                   184                 168                 312                 184
Среднее число слов в предложении                       76.54               20.64               10.82               85.66
Всего предлогов                                         3878                 348                 298                4715
Всего союзов                                               0                 402                 355                   0
Самый частый предлог                                 с(3878)              в(102)               в(79)             с(4565)
Самый частый союз                                          -              и(208)              и(145)                   -

Буквосочетания (биграммы)               
ст                                                         0                 253                 207                   0
но                                                         0                 217                 185                   0
ен                                                         0                 193                 133                   0
то                                                         0                 293                 237                   0
на                                                         0                 181                 214                   0
ов                                                         0                 175                 151                   0
ни                                                         0                 155                 116                   0
ра                                                         0                 131                 164                   0
во                                                         0                 158                 137                   0
ко                                                         0                 167                 176                   0

Буквосочетания (триграммы)              
сто                                                        0                  33                  33                   0
ено                                                        0                   4                   6                   0
нов                                                        0                  21                  10                   0
тов                                                        0                  11                   7                   0
ово                                                        0                  20                  32                   0
ова                                                        0                  37                  25                   0

Самая частая биграмма                                      -             то(293)             то(237)                   -
Самая частая триграмма                                     -             ова(37)             сто(33)                   -
